City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
167,Matara,LK,76.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
168,Saint George,US,93.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
172,Padang,ID,78.46,broken clouds,-0.9492,100.3543,Mercure Padang
175,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
176,El Bagre,CO,78.39,overcast clouds,7.5927,-74.8086,Hotel Real
178,Salinopolis,BR,78.8,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
180,Caravelas,BR,73.11,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
181,Ribeira Grande,PT,74.64,broken clouds,38.5167,-28.7,Quinta da Meia Eira
182,Poso,ID,76.42,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
185,Sao Jose Da Coroa Grande,BR,74.57,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
187,Makakilo City,US,84.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
188,Nantucket,US,71.74,overcast clouds,41.2835,-70.0995,Jared Coffin House
190,Sao Filipe,CV,78.33,few clouds,14.8961,-24.4956,Hotel Xaguate
194,Vanderhoof,CA,87.3,scattered clouds,54.0166,-124.0198,Vanderhoof Inn
198,Olinda,BR,78.53,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
202,Namatanai,PG,82.04,light rain,-3.6667,152.4333,Seagulls Inn Namatani
203,Lagoa,PT,73.13,light rain,39.05,-27.9833,Casa Das Faias
206,Trairi,BR,76.98,broken clouds,-3.2778,-39.2689,janelas do mar
208,Milton,US,87.06,broken clouds,34.1322,-84.3007,Pine Ridge Manufactured House
210,Abbeville,FR,75.16,clear sky,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
213,Matay,EG,84.31,clear sky,28.419,30.7792,Nag Aespen
215,Nador,MA,80.85,clear sky,35.174,-2.9287,Hôtel La Giralda
216,Garni,AM,74.07,clear sky,40.1221,44.7312,GarniRestHost
219,Hilo,US,92.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
220,Sorso,IT,73.89,clear sky,40.8,8.5772,Casa vacanza-Antico Casolare Sorso
222,La Ronge,CA,86.22,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
225,Dapaong,TG,78.08,light rain,10.8639,0.205,Hotel Caroli
226,Tabou,CI,76.26,overcast clouds,4.423,-7.3528,hotêl doufoulougou
228,Honiara,SB,79.97,overcast clouds,-9.4333,159.95,Heritage Park Hotel
232,Norman Wells,CA,71.64,few clouds,65.282,-126.8329,Heritage Hotel
235,Sulangan,PH,82.98,overcast clouds,11.1373,123.7228,Maia's Beach Resort
236,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
238,Saint Anthony,US,84.85,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
239,Cururupu,BR,75.09,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
240,Santa Margherita Ligure,IT,80.44,scattered clouds,44.3346,9.212,Hotel Portofino
241,Lorengau,PG,81.45,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
244,Lufilufi,WS,78.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
245,Saint-Denis,FR,79.09,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
247,Palmer,US,83.8,broken clouds,42.1584,-72.3287,Wedgewood Motel
253,Kloulklubed,PW,73.9,moderate rain,7.0419,134.2556,Storyboard Beach Resort
262,Kununurra,AU,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
263,Punto Fijo,VE,84.11,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
267,Flin Flon,CA,75.04,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
271,Tarboro,US,87.71,clear sky,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
273,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
275,Bakani,IN,75.81,heavy intensity rain,24.2833,76.2333,Ramesh ji dangi thekedar
