City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Longyearbyen,SJ,78.2186,15.6401,44.44,81,100,9.22,overcast clouds
79,Tessalit,ML,20.1986,1.0114,98.67,21,56,5.28,broken clouds
80,Santa Rosa,PH,14.3122,121.1114,79.09,89,88,2.33,overcast clouds
81,Nanortalik,GL,60.1432,-45.2371,43.74,92,44,8.1,scattered clouds
82,Carnarvon,AU,-24.8667,113.6333,58.78,34,0,15.77,clear sky
83,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,100,5.82,overcast clouds
84,Naze,JP,28.3667,129.4833,79.72,81,100,5.93,overcast clouds
85,The Valley,AI,18.217,-63.0578,84.34,70,40,9.22,scattered clouds
86,Lebu,CL,-37.6167,-73.65,50.18,90,100,2.8,overcast clouds
87,Pijijiapan,MX,15.7011,-93.23,90.52,56,54,4.85,broken clouds
88,Westport,US,41.1415,-73.3579,89.15,56,0,5.75,clear sky
89,Jasper,US,37.2001,-94.3502,94.1,33,0,10.36,clear sky
90,Zhanaozen,KZ,43.3,52.8,80.8,23,0,12.37,clear sky
91,Wawa,NG,9.9022,4.4192,71.26,98,100,3.56,moderate rain
92,Barrow,US,71.2906,-156.7887,46.42,93,100,17.27,mist
93,Rosarito,MX,32.3333,-117.0333,98.64,53,4,13.31,clear sky
94,Goderich,CA,43.7501,-81.7165,69.91,58,0,17.09,clear sky
95,Cabedelo,BR,-6.9811,-34.8339,75.87,80,38,7.09,scattered clouds
96,Qaanaaq,GL,77.484,-69.3632,38.93,72,96,6.87,overcast clouds
97,Calbuco,CL,-41.768,-73.1273,51.01,89,100,14.7,light rain
98,Pedernales,DO,18.0384,-71.744,84.56,67,18,6.26,few clouds
99,Algeciras,ES,36.1333,-5.4505,76.68,83,12,5.75,few clouds
100,Mahebourg,MU,-20.4081,57.7,69.26,94,75,18.41,light intensity shower rain
101,Ascoli Piceno,IT,42.8548,13.5749,75.25,63,63,5.44,broken clouds
102,Claveria,PH,18.6074,121.0832,80.62,81,94,2.35,overcast clouds
103,Kavieng,PG,-2.5744,150.7967,81.77,77,97,9.84,light rain
104,Iqaluit,CA,63.7506,-68.5145,51.53,71,40,3.44,scattered clouds
105,Idar-Oberstein,DE,49.7,7.3,68.4,45,45,3.91,scattered clouds
106,Kankan,GN,10.3854,-9.3057,71.44,97,92,5.68,light rain
107,Planaltina,BR,-15.4528,-47.6142,68.86,40,99,3.47,overcast clouds
108,Marawi,PH,7.9986,124.2928,70.21,86,86,2.57,overcast clouds
109,Adrar,MR,20.5022,-10.0711,93.85,30,1,8.25,clear sky
110,Purpe,RU,64.4803,76.6897,53.92,61,99,11.32,overcast clouds
111,Lavrentiya,RU,65.5833,-171.0,44.42,91,86,7.14,overcast clouds
112,Maragogi,BR,-9.0122,-35.2225,73.89,84,7,5.17,clear sky
113,Hasaki,JP,35.7333,140.8333,84.6,80,27,22.5,scattered clouds
114,Luderitz,NA,-26.6481,15.1594,55.56,87,42,7.34,scattered clouds
115,Itarema,BR,-2.9248,-39.9167,77.4,84,92,15.39,overcast clouds
116,Teya,RU,60.3778,92.6267,44.64,90,1,2.89,clear sky
117,Dzilam Gonzalez,MX,21.2833,-88.9333,83.46,76,20,10.92,few clouds
118,Chuy,UY,-33.6971,-53.4616,52.32,89,9,5.84,clear sky
119,Severo-Kurilsk,RU,50.6789,156.125,56.44,96,98,13.24,overcast clouds
120,Ilulissat,GL,69.2167,-51.1,41.02,93,75,1.14,broken clouds
121,Shingu,JP,33.7333,135.9833,79.81,89,100,3.11,overcast clouds
122,Baykit,RU,61.67,96.37,47.34,81,44,3.29,scattered clouds
123,Rocha,UY,-34.4833,-54.3333,49.39,89,0,5.93,clear sky
124,Puerto Ayora,EC,-0.7393,-90.3518,78.76,99,100,7.0,overcast clouds
125,Sinazongwe,ZM,-17.2614,27.4618,67.48,45,0,3.31,clear sky
126,Gimli,CA,50.6336,-96.9907,74.28,50,100,3.58,overcast clouds
127,Gunzenhausen,DE,49.1,10.75,66.69,56,49,4.54,scattered clouds
128,Nikolskoye,RU,59.7035,30.7861,64.29,78,100,6.08,overcast clouds
129,Faya,SA,18.3851,42.4509,68.52,77,78,7.05,broken clouds
130,Bredasdorp,ZA,-34.5322,20.0403,53.1,86,100,3.98,overcast clouds
131,Solano,US,38.2333,-121.9511,93.88,34,0,19.57,clear sky
132,Oyama,JP,36.3,139.8,85.59,61,97,11.27,overcast clouds
133,Ponta Do Sol,PT,32.6667,-17.1,71.71,75,53,1.95,broken clouds
134,Oranjemund,NA,-28.55,16.4333,53.92,94,75,1.16,broken clouds
135,Berlevag,NO,70.8578,29.0864,53.55,71,100,34.52,overcast clouds
136,Batagay-Alyta,RU,67.8006,130.4114,50.02,74,100,9.24,overcast clouds
137,Rawson,AR,-43.3002,-65.1023,53.62,46,26,5.53,scattered clouds
138,Altagracia De Orituco,VE,9.8601,-66.3814,74.07,89,81,1.95,broken clouds
139,Fort Nelson,CA,58.8053,-122.7002,60.39,72,75,3.44,broken clouds
140,Chokurdakh,RU,70.6333,147.9167,49.89,71,100,9.46,overcast clouds
141,Malmesbury,ZA,-33.4608,18.7271,54.77,93,100,7.58,overcast clouds
142,Mersin,TR,36.862,34.6509,80.08,83,4,3.18,clear sky
143,College,US,64.8569,-147.8028,70.07,44,40,5.75,scattered clouds
144,Roald,NO,62.5833,6.1333,61.16,100,100,2.3,drizzle
145,Yadrin,RU,55.9405,46.2062,56.91,82,3,1.59,clear sky
146,Pokhara,NP,28.2333,83.9833,70.36,80,41,4.5,scattered clouds
147,Novaya Bryan,RU,51.7159,108.2691,58.14,78,2,5.14,clear sky
148,Kysyl-Syr,RU,63.8986,122.7617,57.67,72,98,5.19,overcast clouds
149,General Roca,AR,-39.0333,-67.5833,52.63,44,97,0.49,overcast clouds
150,Eyl,SO,7.9803,49.8164,77.58,69,83,22.73,broken clouds
151,Yellowknife,CA,62.456,-114.3525,66.72,32,75,13.8,broken clouds
152,Bengkulu,ID,-3.8004,102.2655,76.01,91,40,3.65,scattered clouds
153,Pisco,PE,-13.7,-76.2167,62.65,77,20,3.44,few clouds
154,Turukhansk,RU,65.8167,87.9833,44.35,81,10,4.23,clear sky
155,Pangody,RU,65.85,74.4859,57.58,60,100,13.85,light rain
156,Kirakira,SB,-10.4544,161.9205,81.59,79,96,7.94,moderate rain
157,Constitucion,CL,-35.3333,-72.4167,48.61,82,0,2.8,clear sky
158,Podor,MR,16.6527,-14.9587,91.35,55,0,0.0,clear sky
159,Sorland,NO,67.667,12.6934,49.86,81,95,25.14,overcast clouds
160,Esperance,AU,-33.8667,121.9,53.49,67,87,7.52,overcast clouds
